,2018_Rank,City,State,Abbreviations,webpage,2018_Estimate,2010_Census,%Change,2016_land_area(sq mi),2016_population_density(sq mi),Location,latitude,longitude,White%,Black%
230,231,Ann Arbor,Michigan,MI,"https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan",121890,113934,6.98,28.1,4298.0,42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W,42.276111,-83.730833,73.0,7.7
231,232,Berkeley,California,CA,"https://en.wikipedia.org/wiki/Berkeley,_California",121643,112580,8.05,10.5,11547.0,37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W,37.866944,-122.29916,54.7,9.7
232,233,Allentown,Pennsylvania,PA,"https://en.wikipedia.org/wiki/Allentown,_Pennsylvania",121433,118032,2.88,17.5,6882.0,40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W,40.593611,-75.478333,43.2,11.6
233,234,Richardson,Texas,TX,"https://en.wikipedia.org/wiki/Richardson,_Texas",120981,99223,21.93,28.6,3963.0,32°58′20″N 96°42′29″W﻿ / ﻿32.9723°N 96.7081°W,32.972222,-96.708055,67.0,8.7
234,235,Odessa,Texas,TX,"https://en.wikipedia.org/wiki/Odessa,_Texas",120568,99940,20.64,45.2,2608.0,31°53′02″N 102°20′28″W﻿ / ﻿31.8838°N 102.3411°W,31.883888,-102.34111,75.4,5.7
235,236,Arvada,Colorado,CO,"https://en.wikipedia.org/wiki/Arvada,_Colorado",120492,106433,13.21,38.6,3043.0,39°50′01″N 105°09′01″W﻿ / ﻿39.8337°N 105.1503°W,39.833611,-105.15027,89.08,0.9
236,237,Cambridge,Massachusetts,MA,"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",118977,105162,13.14,6.4,17289.0,42°22′34″N 71°07′07″W﻿ / ﻿42.3760°N 71.1187°W,42.376111,-71.118611,66.6,11.7
237,238,Sugar Land,Texas,TX,"https://en.wikipedia.org/wiki/Sugar_Land,_Texas",118600,78817,50.48,34.0,3488.0,29°35′58″N 95°36′51″W﻿ / ﻿29.5994°N 95.6142°W,29.599444,-95.614166,52.0,7.4
238,239,Beaumont,Texas,TX,"https://en.wikipedia.org/wiki/Beaumont,_Texas",118428,118296,0.11,82.1,1441.0,30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W,30.084999,-94.145277,33.5,47.3
239,240,Lansing,Michigan,MI,"https://en.wikipedia.org/wiki/Lansing,_Michigan",118427,114297,3.61,39.1,2967.0,42°42′51″N 84°33′33″W﻿ / ﻿42.7143°N 84.5593°W,42.714166,-84.559166,61.2,23.7
240,241,Evansville,Indiana,IN,"https://en.wikipedia.org/wiki/Evansville,_Indiana",117963,117429,0.45,47.3,2526.0,37°59′16″N 87°32′05″W﻿ / ﻿37.9877°N 87.5347°W,37.987777,-87.534722,82.0,12.6
241,242,Rochester,Minnesota,MN,"https://en.wikipedia.org/wiki/Rochester,_Minnesota",116961,106769,9.55,54.6,2088.0,44°00′55″N 92°28′38″W﻿ / ﻿44.0154°N 92.4772°W,44.015277,-92.477222,82.0,6.3
242,243,Independence,Missouri,MO,"https://en.wikipedia.org/wiki/Independence,_Missouri",116925,116830,0.08,77.8,1504.0,39°05′08″N 94°21′08″W﻿ / ﻿39.0855°N 94.3521°W,39.085555,-94.352222,85.7,5.6
243,244,Fairfield,California,CA,"https://en.wikipedia.org/wiki/Fairfield,_California",116884,105321,10.98,40.9,2806.0,38°15′33″N 122°01′56″W﻿ / ﻿38.2593°N 122.0321°W,38.259166,-122.03222,46.0,15.7
244,245,Provo,Utah,UT,"https://en.wikipedia.org/wiki/Provo,_Utah",116702,112488,3.75,41.7,2803.0,40°14′43″N 111°38′41″W﻿ / ﻿40.2453°N 111.6448°W,40.245277,-111.64472,84.8,0.7
245,246,Clearwater,Florida,FL,"https://en.wikipedia.org/wiki/Clearwater,_Florida",116478,107685,8.17,25.9,4415.0,27°58′44″N 82°46′00″W﻿ / ﻿27.9789°N 82.7666°W,27.978888,-82.766666,84.8,0.7
246,247,College Station,Texas,TX,"https://en.wikipedia.org/wiki/College_Station,_Texas",116218,93857,23.82,51.0,2199.0,30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W,30.585277,-96.296388,84.8,0.7
247,248,West Jordan,Utah,UT,"https://en.wikipedia.org/wiki/West_Jordan,_Utah",116046,103712,11.89,32.3,3520.0,40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W,40.6025,-112.00083,72.2,1.2
248,249,Carlsbad,California,CA,"https://en.wikipedia.org/wiki/Carlsbad,_California",115877,105328,10.02,37.7,3023.0,33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W,33.123888,-117.28277,82.8,1.3
249,250,El Monte,California,CA,"https://en.wikipedia.org/wiki/El_Monte,_California",115586,113475,1.86,9.6,12063.0,34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W,34.074722,-118.02916,38.8,0.8
250,251,Murrieta,California,CA,"https://en.wikipedia.org/wiki/Murrieta,_California",114985,103466,11.13,33.6,3324.0,33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W,33.572222,-117.19027,69.7,5.4
251,252,Temecula,California,CA,"https://en.wikipedia.org/wiki/Temecula,_California",114742,100097,14.63,37.3,3031.0,33°29′35″N 117°07′54″W﻿ / ﻿33.4931°N 117.1317°W,33.493055,-117.13166,70.8,4.1
252,253,Springfield,Illinois,IL,"https://en.wikipedia.org/wiki/Springfield,_Massachusetts",114694,116250,-1.34,60.1,1925.0,39°47′28″N 89°38′41″W﻿ / ﻿39.7911°N 89.6446°W,39.791111,-89.644722,51.8,22.3
253,254,Palm Bay,Florida,FL,"https://en.wikipedia.org/wiki/Palm_Bay,_Florida",114194,103190,10.66,65.7,1676.0,27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W,27.985555,-80.6625,72.9,17.9
254,255,Costa Mesa,California,CA,"https://en.wikipedia.org/wiki/Costa_Mesa,_California",113615,109960,3.32,15.7,7186.0,33°39′57″N 117°54′44″W﻿ / ﻿33.6659°N 117.9123°W,33.665833,-117.91222,68.5,1.5
255,256,Westminster,Colorado,CO,"https://en.wikipedia.org/wiki/Westminster,_Colorado",113479,106114,6.94,31.7,3592.0,39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W,39.882222,-105.06444,84.19,1.23
256,257,North Charleston,South Carolina,SC,"https://en.wikipedia.org/wiki/North_Charleston,_South_Carolina",113237,97471,16.18,73.7,1483.0,32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W,32.917777,-80.065,90.0,69.0
257,258,Miami Gardens,Florida,FL,"https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",113069,107167,5.51,18.2,6212.0,25°56′56″N 80°14′37″W﻿ / ﻿25.9489°N 80.2436°W,25.948888,-80.243611,23.1,73.3
258,259,Manchester,New Hampshire,NH,"https://en.wikipedia.org/wiki/Manchester,_New_Hampshire",112525,109565,2.7,33.1,3339.0,42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W,42.985,-71.444166,86.1,4.1
259,260,High Point,North Carolina,NC,"https://en.wikipedia.org/wiki/High_Point,_North_Carolina",112316,104371,7.61,55.2,2015.0,35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W,35.99,-79.990555,53.6,33.0
260,261,Downey,California,CA,"https://en.wikipedia.org/wiki/Downey,_California",112269,111772,0.44,12.4,9134.0,33°56′18″N 118°07′51″W﻿ / ﻿33.9382°N 118.1309°W,33.938333,-118.13083,56.6,3.9
261,262,Clovis,California,CA,"https://en.wikipedia.org/wiki/Clovis,_California",112022,95631,17.14,24.2,4404.0,36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W,36.828333,-119.685,70.9,2.7
262,263,Pompano Beach,Florida,FL,"https://en.wikipedia.org/wiki/Pompano_Beach,_Florida",111954,99845,12.13,24.0,4558.0,26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W,26.241666,-80.133888,62.6,28.9
263,264,Pueblo,Colorado,CO,"https://en.wikipedia.org/wiki/Pueblo,_Colorado",111750,106595,4.84,53.6,2058.0,38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W,38.269999,-104.61222,75.2,2.5
264,265,Elgin,Illinois,IL,"https://en.wikipedia.org/wiki/Elgin,_Illinois",111683,108188,3.23,37.4,2998.0,42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W,42.039722,-88.321666,65.9,7.4
265,266,Lowell,Massachusetts,MA,"https://en.wikipedia.org/wiki/Lowell,_Massachusetts",111670,106519,4.84,13.6,8129.0,42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W,42.638888,-71.321111,60.3,6.8
266,267,Antioch,California,CA,"https://en.wikipedia.org/wiki/Antioch,_California",111535,102372,8.95,29.4,3772.0,37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W,37.979166,-121.79611,35.6,16.7
267,268,West Palm Beach,Florida,FL,"https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida",111398,99919,11.49,55.1,1963.0,26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W,26.746388,-80.125,56.7,32.5
268,269,Peoria,Illinois,IL,"https://en.wikipedia.org/wiki/Peoria,_Illinois",111388,115007,-3.15,48.2,2371.0,40°45′05″N 89°37′03″W﻿ / ﻿40.7515°N 89.6174°W,40.751388,-89.617499,62.4,26.9
269,270,Everett,Washington,WA,"https://en.wikipedia.org/wiki/Everett,_Washington",111262,103019,8.0,33.3,3275.0,47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W,47.956666,-122.19138,74.6,4.1
270,271,Ventura,California,CA,"https://en.wikipedia.org/wiki/Ventura,_California",111128,106433,4.41,21.8,5027.0,34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W,34.267777,-119.25416,76.6,1.6
271,272,Centennial,Colorado,CO,"https://en.wikipedia.org/wiki/Centennial,_Colorado",110831,100377,10.41,29.5,3727.0,39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W,39.590555,-104.86916,87.4,2.4
272,273,Lakeland,Florida,FL,"https://en.wikipedia.org/wiki/Lakeland,_Florida",110516,97422,13.44,65.9,1615.0,28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W,28.055555,-81.955,70.8,20.9
273,274,Gresham,Oregon,OR,"https://en.wikipedia.org/wiki/Gresham,_Oregon",110158,105594,4.32,23.3,4786.0,45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W,45.502222,-122.44166,76.0,3.5
274,275,Richmond,California,CA,"https://en.wikipedia.org/wiki/Richmond,_California",110146,103701,6.21,30.1,3648.0,37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W,37.952222,-122.36055,17.1,25.9
275,276,Billings,Montana,MT,"https://en.wikipedia.org/wiki/Billings,_Montana",109550,104170,5.16,43.7,2525.0,45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W,45.788611,-108.55,89.6,0.8
276,277,Inglewood,California,CA,"https://en.wikipedia.org/wiki/Inglewood,_California",109419,109673,-0.23,9.1,12160.0,33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W,33.956111,-118.34416,89.6,46.0
277,278,Broken Arrow,Oklahoma,OK,"https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma",109171,98850,10.44,61.7,1741.0,36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W,36.036388,-95.781111,79.3,4.3
278,279,Sandy Springs,Georgia,GA,"https://en.wikipedia.org/wiki/Sandy_Springs,_Georgia",108797,93853,15.92,37.7,2804.0,33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W,33.931388,-84.368611,65.0,20.0
279,280,Jurupa Valley,California,CA,"https://en.wikipedia.org/wiki/Jurupa_Valley,_California",108393,0,9.09,42.9,2414.0,34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W,34.0025,-117.4675,65.0,20.0
280,281,Hillsboro,Oregon,OR,"https://en.wikipedia.org/wiki/Hillsboro,_Oregon",108389,91611,18.31,25.0,4207.0,45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W,45.528055,-122.93583,73.0,20.0
281,282,Waterbury,Connecticut,CT,"https://en.wikipedia.org/wiki/Waterbury,_Connecticut",108093,110366,-2.06,28.5,3799.0,41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W,41.558611,-73.036666,58.8,20.1
282,283,Santa Maria,California,CA,"https://en.wikipedia.org/wiki/Santa_Maria,_California",107408,99553,7.89,22.8,4662.0,34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W,34.933333,-120.44388,56.2,1.7
283,284,Boulder,Colorado,CO,"https://en.wikipedia.org/wiki/Boulder,_Colorado",107353,97385,10.24,24.8,4358.0,40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W,40.026944,-105.25194,88.0,0.9
284,285,Greeley,Colorado,CO,"https://en.wikipedia.org/wiki/Greeley,_Colorado",107348,92889,15.57,47.8,2176.0,40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W,40.415277,-104.76972,79.1,1.7
285,286,Daly City,California,CA,"https://en.wikipedia.org/wiki/Daly_City,_California",107008,101123,5.82,7.6,14009.0,37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W,37.700833,-122.465,79.1,1.7
286,287,Meridian,Idaho,ID,"https://en.wikipedia.org/wiki/Meridian,_Idaho",106804,75092,42.23,29.8,3584.0,43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W,43.614166,-116.39888,92.0,0.8
287,288,Lewisville,Texas,TX,"https://en.wikipedia.org/wiki/Lewisville,_Texas",106586,95290,11.85,36.7,2852.0,33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W,33.046666,-96.981666,65.3,11.2
288,289,Davie,Florida,FL,"https://en.wikipedia.org/wiki/Davie,_Florida",106558,91992,15.83,34.9,2919.0,26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W,26.079166,-80.285,80.1,8.0
289,290,West Covina,California,CA,"https://en.wikipedia.org/wiki/West_Covina,_California",106311,106098,0.2,16.0,6740.0,34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W,34.055833,-117.91,42.8,4.5
290,291,League City,Texas,TX,"https://en.wikipedia.org/wiki/League_City,_Texas",106244,83560,27.15,51.2,1992.0,29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W,29.49,-95.109166,79.5,7.1
291,292,Tyler,Texas,TX,"https://en.wikipedia.org/wiki/Tyler,_Texas",105729,96900,9.11,56.6,1852.0,32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W,32.317222,-95.305833,60.5,24.8
292,293,Norwalk,California,CA,"https://en.wikipedia.org/wiki/Norwalk,_California",105120,105549,-0.41,9.7,10946.0,33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W,33.9075,-118.08361,49.4,4.4
293,294,San Mateo,California,CA,"https://en.wikipedia.org/wiki/San_Mateo,_California",105025,97207,8.04,12.1,8592.0,37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W,37.560277,-122.31055,46.5,2.2
294,295,Green Bay,Wisconsin,WI,"https://en.wikipedia.org/wiki/Green_Bay,_Wisconsin",104879,104057,0.79,45.4,2316.0,44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W,44.520833,-87.984166,77.9,3.5
295,296,Wichita Falls,Texas,TX,"https://en.wikipedia.org/wiki/Wichita_Falls,_Texas",104576,104553,0.02,72.2,1450.0,33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W,33.906666,-98.525833,75.1,12.4
296,297,Sparks,Nevada,NV,"https://en.wikipedia.org/wiki/Sparks,_Nevada",104246,90264,15.49,35.9,2810.0,39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W,39.554444,-119.73555,74.5,2.6
297,298,Lakewood,New Jersey,NJ,"https://en.wikipedia.org/wiki/Lakewood_Township,_New_Jersey",104157,92843,12.19,24.7,4079.0,40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W,40.077222,-74.200277,78.77,2.05
298,299,Burbank,California,CA,"https://en.wikipedia.org/wiki/Burbank,_California",103695,103340,0.34,17.4,6003.0,34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W,34.19,-118.32638,72.7,2.5
299,300,Rialto,California,CA,"https://en.wikipedia.org/wiki/Rialto,_California",103440,99171,4.3,22.3,4633.0,34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W,34.111666,-117.38833,44.0,16.4
300,301,Allen,Texas,TX,"https://en.wikipedia.org/wiki/Allen,_Texas",103383,84246,22.72,27.1,3715.0,33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W,33.099722,-96.663055,64.92,8.18
301,302,El Cajon,California,CA,"https://en.wikipedia.org/wiki/El_Cajon,_California",103241,99478,3.78,14.5,7156.0,32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W,32.801666,-116.96027,41.6,6.3
302,303,Las Cruces,New Mexico,NM,"https://en.wikipedia.org/wiki/Las_Cruces,_New_Mexico",102926,97618,5.44,76.9,1323.0,32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W,32.326388,-106.78972,34.9,2.6
303,304,Renton,Washington,WA,"https://en.wikipedia.org/wiki/Renton,_Washington",102153,90927,12.35,23.4,4314.0,47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W,47.476111,-122.19194,54.6,10.6
304,305,Davenport,Iowa,IA,"https://en.wikipedia.org/wiki/Davenport,_Iowa",102085,99685,2.41,62.9,1631.0,41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W,41.554166,-90.603888,60.3,24.7
305,306,South Bend,Indiana,IN,"https://en.wikipedia.org/wiki/South_Bend,_Indiana",101860,101168,0.68,41.4,2457.0,41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W,41.676944,-86.268888,60.5,26.6
306,307,Vista,California,CA,"https://en.wikipedia.org/wiki/Vista,_California",101224,93834,7.88,18.7,5436.0,33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W,33.189444,-117.23861,63.5,4.2
307,308,Tuscaloosa,Alabama,AL,"https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama",101113,90468,11.77,71.7,1399.0,33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W,33.206388,-87.534722,53.8,41.5
308,309,Clinton,Michigan,MI,"https://en.wikipedia.org/wiki/Clinton_Township,_Macomb_County,_Michigan",100800,96796,4.14,28.1,3573.0,42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W,42.590277,-82.916944,82.08,3.04
309,310,Edison,New Jersey,NJ,"https://en.wikipedia.org/wiki/Edison,_New_Jersey",100693,99967,0.73,30.1,3389.0,40°30′14″N 74°20′58″W﻿ / ﻿40.5040°N 74.3494°W,40.503888,-74.349444,59.49,6.89
310,311,Woodbridge,New Jersey,NJ,"https://en.wikipedia.org/wiki/Woodbridge_Township,_New_Jersey",100450,99585,0.87,23.3,4351.0,40°33′39″N 74°17′34″W﻿ / ﻿40.5607°N 74.2927°W,40.560833,-74.292777,70.83,8.75
311,312,San Angelo,Texas,TX,"https://en.wikipedia.org/wiki/San_Angelo,_Texas",100215,93200,7.53,59.9,1681.0,31°26′28″N 100°27′02″W﻿ / ﻿31.4411°N 100.4505°W,31.441111,-100.45055,83.0,5.4
312,313,Kenosha,Wisconsin,WI,"https://en.wikipedia.org/wiki/Kenosha,_Wisconsin",100164,99218,0.95,28.0,3577.0,42°34′56″N 87°50′44″W﻿ / ﻿42.5822°N 87.8456°W,42.582222,-87.845555,77.1,10.0
313,314,Vacaville,California,CA,"https://en.wikipedia.org/wiki/Vacaville,_California",100154,92428,8.36,29.0,3449.0,38°21′14″N 121°58′22″W﻿ / ﻿38.3539°N 121.9728°W,38.353888,-121.97277,66.3,10.3
