,2018_Rank,City,State,Abbreviations,webpage,2018_Estimate,2010_Census,%Change,2016_land_area(sq mi),2016_population_density(sq mi),Location,latitude,longitude,White%,Black%
145,146,Santa Rosa,California,CA,"https://en.wikipedia.org/wiki/Santa_Rosa,_California",177586,167815,5.82,41.3,4241.0,38°26′48″N 122°42′22″W﻿ / ﻿38.4468°N 122.7061°W,38.446666,-122.70611,59.7,2.4
146,147,Oceanside,California,CA,"https://en.wikipedia.org/wiki/Oceanside,_California",176080,167086,5.38,41.3,4249.0,33°13′28″N 117°18′22″W﻿ / ﻿33.2245°N 117.3062°W,33.224444,-117.30611,65.2,4.7
147,148,Salem,Oregon,OR,"https://en.wikipedia.org/wiki/Salem,_Oregon",173442,154637,12.16,48.6,3445.0,44°55′25″N 123°01′24″W﻿ / ﻿44.9237°N 123.0232°W,44.923611,-123.02333,79.0,1.5
148,149,Elk Grove,California,CA,"https://en.wikipedia.org/wiki/Elk_Grove,_California",172886,153015,12.99,42.2,4022.0,38°24′53″N 121°23′06″W﻿ / ﻿38.4146°N 121.3850°W,38.414722,-121.385,45.9,11.1
149,150,Garden Grove,California,CA,"https://en.wikipedia.org/wiki/Garden_Grove,_California",172646,170883,1.03,18.0,9714.0,33°46′44″N 117°57′38″W﻿ / ﻿33.7788°N 117.9605°W,33.778888,-117.96055,39.9,1.3
150,151,Pembroke Pines,Florida,FL,"https://en.wikipedia.org/wiki/Pembroke_Pines,_Florida",172374,154019,11.92,33.0,5109.0,26°01′16″N 80°20′25″W﻿ / ﻿26.0210°N 80.3404°W,26.021111,-80.340277,67.3,19.8
151,152,Peoria,Arizona,AZ,"https://en.wikipedia.org/wiki/Peoria,_Arizona",172259,154065,11.81,175.7,934.0,33°47′10″N 112°18′29″W﻿ / ﻿33.7862°N 112.3080°W,33.786111,-112.30805,84.95,2.78
152,153,Eugene,Oregon,OR,"https://en.wikipedia.org/wiki/Eugene,_Oregon",171245,156185,9.64,44.1,3777.0,44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W,44.056666,-123.11611,85.8,1.4
153,154,Corona,California,CA,"https://en.wikipedia.org/wiki/Corona,_California",168819,152374,10.79,39.5,4222.0,33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W,33.861944,-117.56555,59.7,5.9
154,155,Cary,North Carolina,NC,"https://en.wikipedia.org/wiki/Cary,_North_Carolina",168160,135234,24.35,56.5,2873.0,35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W,35.780833,-78.813333,73.1,8.0
155,156,Springfield,Missouri,MO,"https://en.wikipedia.org/wiki/Springfield,_Missouri",168122,159498,5.41,82.3,2033.0,37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W,37.194166,-93.291388,88.7,4.1
156,157,Fort Collins,Colorado,CO,"https://en.wikipedia.org/wiki/Fort_Collins,_Colorado",167830,143986,16.56,55.8,2943.0,40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W,40.548333,-105.06472,82.4,3.01
157,158,Jackson,Mississippi,MS,"https://en.wikipedia.org/wiki/Jackson,_Mississippi",164422,173514,-5.24,111.0,1524.0,32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W,32.315833,-90.212777,64.3,35.7
158,159,Alexandria,Virginia,VA,"https://en.wikipedia.org/wiki/Alexandria,_Virginia",160530,139966,14.69,15.0,10387.0,38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W,38.82,-77.084166,60.9,21.8
159,160,Hayward,California,CA,"https://en.wikipedia.org/wiki/Hayward,_California",159620,144186,10.7,45.5,3493.0,37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W,37.628611,-122.10249,18.8,11.3
160,161,Lancaster,California,CA,"https://en.wikipedia.org/wiki/Lancaster,_California",159053,156633,1.55,94.3,1698.0,34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W,34.693611,-118.17527,49.6,20.5
161,162,Lakewood,Colorado,CO,"https://en.wikipedia.org/wiki/Lakewood,_Colorado",156798,142980,9.66,42.9,3599.0,39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W,39.698888,-105.11749,82.9,1.6
162,163,Clarksville,Tennessee,TN,"https://en.wikipedia.org/wiki/Clarksville,_Tennessee",156794,132929,17.95,98.3,1529.0,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W,36.566388,-87.345277,66.6,23.1
163,164,Palmdale,California,CA,"https://en.wikipedia.org/wiki/Palmdale,_California",156667,152750,2.56,106.0,1484.0,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W,34.591111,-118.10527,49.0,14.8
164,165,Salinas,California,CA,"https://en.wikipedia.org/wiki/Salinas,_California",156259,150441,3.87,23.6,6662.0,36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W,36.690277,-121.63361,45.8,2.0
165,166,Springfield,Massachusetts,MA,"https://en.wikipedia.org/wiki/Springfield,_Illinois",155032,153060,1.29,31.9,4830.0,42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W,42.115555,-72.539999,81.0,15.3
166,167,Hollywood,Florida,FL,"https://en.wikipedia.org/wiki/Hollywood,_Florida",154823,140768,9.98,27.3,5568.0,26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W,26.031111,-80.164722,72.7,16.7
167,168,Pasadena,Texas,TX,"https://en.wikipedia.org/wiki/Pasadena,_California",153219,149043,2.8,43.5,3525.0,29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W,29.658611,-95.150555,55.8,10.6
168,169,Sunnyvale,California,CA,"https://en.wikipedia.org/wiki/Sunnyvale,_California",153185,140081,9.35,22.0,6944.0,37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W,37.385833,-122.02638,34.5,1.8
169,170,Macon,Georgia,GA,"https://en.wikipedia.org/wiki/Macon,_Georgia",153095,91351,67.59,249.3,612.0,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W,32.808888,-83.694166,28.56,7.94
170,171,Kansas City,Kansas,KS,"https://en.wikipedia.org/wiki/Kansas_City,_Kansas",152958,145786,4.92,124.8,1216.0,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W,39.1225,-94.741666,52.2,26.8
171,172,Pomona,California,CA,"https://en.wikipedia.org/wiki/Pomona,_California",152361,149058,2.22,23.0,6630.0,34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W,34.058611,-117.76111,48.0,7.3
172,173,Escondido,California,CA,"https://en.wikipedia.org/wiki/Escondido,_California",152213,143911,5.77,37.1,4087.0,33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W,33.133055,-117.07388,60.4,2.1
